index,FullName,StationCode,id
0,'s-Hertogenbosch,HT,2747351.0
1,'s-Hertogenbosch Oost,HTO,2747351.0
2,Akkrum,AKM,2759922.0
3,Alkmaar,AMR,2759899.0
4,Alkmaar Noord,AMRN,2759899.0
5,Almelo,AML,2759887.0
6,Almelo de Riet,AMRI,2759887.0
7,Almere Centrum,ALM,2759879.0
8,Almere Muziekwijk,ALMM,2759879.0
9,Almere Oostvaarders,ALMO,6544259.0
10,Almere Poort,AMPO,2759879.0
11,Alphen a/d Rijn,APN,2751773.0
12,Amersfoort,AMF,2759821.0
13,Amersfoort Schothorst,AMFS,2759821.0
14,Amersfoort Vathorst,AVAT,2759821.0
15,Amsterdam Amstel,ASA,2759794.0
16,Amsterdam Bijlmer ArenA,ASB,2759794.0
17,Amsterdam Centraal,ASD,2759794.0
18,Amsterdam Lelylaan,ASDL,2759794.0
19,Amsterdam Muiderpoort,ASDM,2759794.0
20,Amsterdam RAI,RAI,3383434.0
21,Amsterdam Sloterdijk,ASS,2759794.0
22,Amsterdam Zuid,ASDZ,6544881.0
23,Anna Paulowna,ANA,2757220.0
24,Apeldoorn,APD,2759706.0
25,Arnemuiden,ARN,2750896.0
26,Arnhem Centraal,AH,2759661.0
27,Arnhem Zuid,AHZ,2759661.0
28,Assen,ASN,2759633.0
29,Baarn,BRN,2759544.0
30,Bad Nieuweschans,NSCH,7535498.0
31,Baflo,BF,2744337.0
32,Barendrecht,BRD,2759426.0
33,Beesd,BSD,2751808.0
34,Beilen,BL,6544297.0
35,Best,BET,2759040.0
36,Beverwijk,BV,2758998.0
37,Bilthoven,BHV,2757783.0
38,Boskoop,BSK,2758547.0
39,Boven-Hardinxveld,BHDV,2758500.0
40,Boxtel,BTL,2758460.0
41,Breda,BD,2758401.0
42,Breukelen,BKL,2758333.0
43,Capelle Schollevaar,CPS,2758011.0
44,Coevorden,CO,2757937.0
45,Daarlerveen,DA,2745169.0
46,De Vink,DVNK,2751773.0
47,Delft,DT,2757345.0
48,Delft Zuid,DTZ,2757345.0
49,Delfzijl,DZ,2757340.0
